"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT4G26230",3.65111756217696e-13,-1.08810342616479,0.034,0.175,6.51797507199832e-09
"RPL12-A",4.66210665833469e-13,-0.441512162186861,0.108,0.322,8.32279280645908e-09
"AT3G44010",5.65688531054897e-13,-1.24652025947705,0.034,0.173,1.0098671656392e-08
"AT2G01250",7.64230480073112e-13,-1.10318484281554,0.043,0.189,1.36430425302652e-08
"FD1",8.44857131065673e-13,-0.5266597903167,0.099,0.3,1.50823895037844e-08
"EMB3136",1.0315730203491e-12,-0.741842805046467,0.048,0.201,1.84156415592722e-08
"AT4G18100",2.49670689007049e-12,-1.14904643036153,0.046,0.191,4.45712114015384e-08
"GSTF8",2.50308012925713e-12,-0.979749268982585,0.057,0.213,4.46849864674983e-08
"TIM",3.93053900050676e-12,-0.637897220076933,0.06,0.22,7.01679822370467e-08
"AT3G48140",4.287375597771e-12,-0.956871503558807,0.045,0.187,7.65382291714078e-08
"PSRP2",6.06992941796218e-12,-1.04445485400599,0.033,0.161,1.08360379969461e-07
"AT5G56670",7.38570802222615e-12,-1.99900645034653,0.015,0.121,1.31849659612781e-07
"APG1",8.36222793298192e-12,-0.810279569039666,0.048,0.191,1.49282493059593e-07
"LEJ2",1.05479221599059e-11,-2.06346313310253,0.012,0.111,1.88301506398641e-07
"EMB2296",1.22046400168413e-11,-1.02496922842428,0.062,0.215,2.1787723358065e-07
"AT1G13930",1.33400794758827e-11,-0.663320414312571,0.074,0.241,2.38147098803458e-07
"PKT3",1.41367263596682e-11,-0.576952456551122,0.067,0.227,2.52368838972797e-07
"AT4G31985",1.4187321622982e-11,-0.669952105693187,0.055,0.203,2.53272065613474e-07
"CPN20",1.4760209717667e-11,-0.562850239793379,0.183,0.428,2.63499263879792e-07
"AT5G18380",1.47814951525875e-11,-1.41972307363519,0.022,0.135,2.63879251463992e-07
"AT2G47610",1.95622606225755e-11,-1.03443224024507,0.046,0.184,3.49225476634218e-07
"HOG1",2.49195181232893e-11,-0.462159972404952,0.099,0.286,4.4486323753696e-07
"EMB3113",2.72263971166844e-11,-0.629860164259072,0.096,0.277,4.86045641327051e-07
"AT5G59613",3.5386463034315e-11,-0.801717669931205,0.046,0.182,6.31719138088592e-07
"AT4G34881",3.56650294244769e-11,-0.734831540573474,0.038,0.165,6.36692105285762e-07
"AT3G06700",6.49400178632453e-11,-0.731730468451655,0.062,0.21,1.15930919889465e-06
"AT5G47930",7.51610642219795e-11,-1.00367976465933,0.036,0.158,1.34177531849078e-06
"AT2G21580",8.96234831299153e-11,-1.21794735717468,0.027,0.139,1.59995842083525e-06
"RPL21C",1.23520072453941e-10,-0.364957708968804,0.127,0.326,2.20508033344776e-06
"FER1",1.33864031867006e-10,-1.57973327771405,0.015,0.111,2.38974069688978e-06
"HSP17.6II",1.38777319962634e-10,-0.293780224524222,0.182,0.421,2.47745271597295e-06
"GDCH",1.49571458176127e-10,-0.520185623862903,0.098,0.274,2.67014967136021e-06
"P5CR",1.56845137856356e-10,-1.52808925683531,0.019,0.118,2.79999940101167e-06
"AT3G20230",2.03831739386062e-10,-1.28960995737713,0.022,0.125,3.63880421151999e-06
"ALDH11A3",2.72217284770424e-10,-0.78785726687106,0.039,0.161,4.85962296772161e-06
"AT5G02450",2.98409968735631e-10,-1.22252698242968,0.024,0.128,5.32721476186848e-06
"GAPC1",3.00733384700891e-10,-1.24586455558335,0.027,0.135,5.3686923836803e-06
"emb2386",3.19356701474868e-10,-0.289667643556633,0.101,0.279,5.70115583472934e-06
"emb1138",3.31937556350715e-10,-0.471386630766249,0.063,0.206,5.92574925597297e-06
"P40",4.31512299255517e-10,-0.606494397369093,0.077,0.229,7.70335756630949e-06
"RPS15",4.37646447595302e-10,-0.805092848368035,0.043,0.165,7.81286438247134e-06
"AT5G61170",4.50963482435567e-10,-0.709518299417846,0.051,0.182,8.05060008843974e-06
"SCP2",4.6051955279032e-10,-0.615849152221539,0.051,0.182,8.22119505641279e-06
"AT2G27710",4.72693065894469e-10,-0.584930233038893,0.07,0.217,8.43851661234806e-06
"RPS15A",5.71222754071793e-10,-0.9302886497761,0.038,0.154,1.01974686056897e-05
"RPL24",6.0050945964557e-10,-0.427113386516771,0.075,0.227,1.07202948735927e-05
