"gene","MoransI_observed","MoransI_p.value","MoransI_p.adj"
"ECA4",NA,NA,NA
"AT1G07690",NA,NA,NA
"AT1G07700",NA,NA,NA
"AT1G07705",NA,NA,NA
"KCS3",NA,NA,NA
"AT1G07728",NA,NA,NA
"AT1G07740",NA,NA,NA
"RAD51D",NA,NA,NA
"AT1G07750",NA,NA,NA
"RPS15A",NA,NA,NA
"PAI1",NA,NA,NA
"HTB1",NA,NA,NA
"ECA1",NA,NA,NA
"AT1G07820",NA,NA,NA
"AT1G07830",NA,NA,NA
"AT1G07840",NA,NA,NA
"AT1G07870",NA,NA,NA
"ATMPK13",NA,NA,NA
"APX1",NA,NA,NA
"AT1G07902",NA,NA,NA
"RNL",NA,NA,NA
"AT1G07920",NA,NA,NA
"AT1G07930",NA,NA,NA
"AT1G07940",NA,NA,NA
"MED22B",NA,NA,NA
"PDIL5-1",NA,NA,NA
"AT1G07970",NA,NA,NA
"NF-YC10",NA,NA,NA
"AT1G07985",NA,NA,NA
"AT1G07990",NA,NA,NA
"GATA10",NA,NA,NA
"GATA11",NA,NA,NA
"TPST",NA,NA,NA
"AT1G08035",NA,NA,NA
"AT1G08040",NA,NA,NA
"AT1G08050",NA,NA,NA
"MOM",NA,NA,NA
"OTP82",NA,NA,NA
"NRT2:1",NA,NA,NA
"AT1G08110",NA,NA,NA
"AT1G08125",NA,NA,NA
"LIG1",NA,NA,NA
"AT1G08165",NA,NA,NA
"AT1G08180",NA,NA,NA
"VPS41",NA,NA,NA
"AXS2",NA,NA,NA
"AT1G08210",NA,NA,NA
"AT1G08220",NA,NA,NA
"AT1G08230",NA,NA,NA
"ADT6",NA,NA,NA
"TIL1",NA,NA,NA
"AT1G08280",NA,NA,NA
"NVL",NA,NA,NA
"AT1G08310",NA,NA,NA
"AT1G08315",NA,NA,NA
"AT1G08340",NA,NA,NA
"AT1G08350",NA,NA,NA
"AT1G08360",NA,NA,NA
"DCP1",NA,NA,NA
"PSAO",NA,NA,NA
"AT1G08390",NA,NA,NA
"AT1G08400",NA,NA,NA
"AT1G08410",NA,NA,NA
"BSL2",NA,NA,NA
"CRT3",NA,NA,NA
"HDA08",NA,NA,NA
"YAB2",NA,NA,NA
"SSL3",NA,NA,NA
"SDH6",NA,NA,NA
"CPNIFS",NA,NA,NA
"ENODL18",NA,NA,NA
"FATB",NA,NA,NA
"ALB1",NA,NA,NA
"AT1G08530",NA,NA,NA
"SIG2",NA,NA,NA
"NPQ1",NA,NA,NA
"SYP111",NA,NA,NA
