"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT3G45930",0.0593874741345239,0.397235997353521,0.059,0.136,1
"EXPA11",0.0593874741345239,3.73042000297243,0.103,0.037,1
"CRK",0.0598783532826062,0.432565092506182,0.059,0.136,1
"TAF5",0.0598783532826062,0.474055412949562,0.059,0.136,1
"TRA2",0.0600988292061154,0.616291213449662,0.249,0.457,1
"MAG1",0.0602510188384447,0.401063737855582,0.092,0.185,1
"BRI1",0.060596394225495,0.946934649942336,0.135,0.259,1
"AT1G48440",0.06061788428828,0.85657904729843,0.097,0.198,1
"AT5G64500",0.0606826583301225,0.786867761648483,0.081,0.173,1
"CCoAOMT1",0.0608702090879845,3.23780697572283,0.103,0.037,1
"AT1G02890",0.0609721195202684,0.82694843563181,0.076,0.16,1
"AT2G42710",0.061429263342558,0.748943668584982,0.076,0.16,1
"AT2G21250",0.0614419241262475,0.685257222427878,0.097,0.198,1
"PDR2",0.0618756381042119,0.62010286959347,0.059,0.136,1
"AT5G59970",0.0618756381042119,0.541019136241352,0.059,0.136,1
"AT5G51620",0.062383483851743,1.46914980760043,0.059,0.136,1
"SAE1A",0.062636367069375,0.379562194702519,0.054,0.123,1
"PDH-E1 BETA",0.0626725885219956,0.626090814167167,0.173,0.321,1
"AT3G15940",0.0628947724888172,0.301315800301629,0.059,0.136,1
"SHM2",0.0631914544506688,0.607968550457888,0.114,0.222,1
"RAP2.7",0.0636775501323177,0.340901449213142,0.092,0.185,1
"ADK1.2",0.0639030552081065,1.04227989067498,0.151,0.284,1
"AT2G16710",0.0639277447497807,1.03174854223107,0.059,0.136,1
"PIS2",0.0639277447497807,1.06354492417544,0.059,0.136,1
"KING1",0.0639698603273321,0.839393392765772,0.097,0.198,1
"GDI2",0.0642229864560493,1.25980278541033,0.178,0.333,1
"AT1G78040",0.0649488925574981,0.975426084522689,0.573,0.741,1
"A/N-InvB",0.065265683488349,0.676257472398634,0.097,0.198,1
"NADP-ME2",0.0661586580111406,0.829914919944947,0.076,0.16,1
"DL1C",0.0663079735283135,0.785879265764178,0.173,0.321,1
"NPSN11",0.0664073219625147,0.939895423440424,0.119,0.235,1
"RGA1",0.0664688760805084,-0.340709300805137,0.054,0.123,1
"AT2G43640",0.0666476699470406,0.915718705452925,0.076,0.16,1
"AT3G16190",0.0670318248519777,0.750024871141006,0.054,0.123,1
"AT5G25360",0.0670318248519777,0.443442092248584,0.054,0.123,1
"AT4G26450",0.0671394959917438,0.293822902929333,0.076,0.16,1
"DGL1",0.0675311489477418,1.29755038355811,0.286,0.556,1
"VAD1",0.0689627443073965,0.897471208921848,0.13,0.247,1
