"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT1G67430",2.08446591411973e-22,-0.124147004755325,0.077,0.317,3.72118854988654e-18,"0","AT1G67430"
"ATOZI1",2.84638864528385e-22,-0.498272513182227,0.038,0.234,5.08137300956073e-18,"0","ATOZI1"
"AT5G15200",3.0411912006235e-22,-0.337836765318101,0.135,0.426,5.42913453135307e-18,"0","AT5G15200"
"AT4G02450",3.04683925999754e-22,-0.44572821988968,0.05,0.259,5.43921744694762e-18,"0","AT4G02450"
"HSP70",3.6333111904081e-22,-0.750886939270088,0.036,0.23,6.48618713711654e-18,"0","HSP70"
"AT4G21105",3.69850819713524e-22,-0.536011802451517,0.048,0.254,6.60257683352583e-18,"0","AT4G21105"
"AT2G31610",4.53804147004115e-22,-0.617447618390086,0.034,0.225,8.10131163231746e-18,"0","AT2G31610"
"AT1G33120",4.66019326753455e-22,-0.64818937510608,0.043,0.242,8.31937702120267e-18,"0","AT1G33120"
"SEC61 BETA",5.16025822527402e-22,-0.945772049212291,0.029,0.214,9.21209298375918e-18,"0","SEC61 BETA"
"RPS6",5.39611531276195e-22,-0.547509479016425,0.048,0.253,9.63314505634264e-18,"0","RPS6"
"PFL",5.72680605807271e-22,-0.604547591086075,0.038,0.232,1.02234941748714e-17,"0","PFL"
"AT3G58610",5.752505258135e-22,-0.468295901575619,0.048,0.253,1.02693723868226e-17,"0","AT3G58610"
"IAA9",6.73381858305515e-22,-0.890949197329712,0.021,0.194,1.20212129344701e-17,"0","IAA9"
"BIP1",7.29437612982728e-22,-0.643545584696914,0.036,0.227,1.30219202669677e-17,"0","BIP1"
"AT1G04480",7.33559164492809e-22,-0.491955916682717,0.039,0.235,1.30954982045256e-17,"0","AT1G04480"
"AT4G24920",8.33130080918457e-22,-0.953333453203436,0.017,0.186,1.48730382045563e-17,"0","AT4G24920"
"AT4G33865",9.14849400753964e-22,-0.272734830572887,0.055,0.266,1.63318915022598e-17,"0","AT4G33865"
"ACT8",1.03690203297602e-21,-1.41440233693829,0.014,0.177,1.85107750926878e-17,"0","ACT8"
"FAD2",1.16120758207625e-21,-0.46854704261356,0.038,0.23,2.07298777552252e-17,"0","FAD2"
"AT5G14030",1.18422378951114e-21,-0.525413040089015,0.045,0.244,2.11407630903529e-17,"0","AT5G14030"
