"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.28234730652694e-41,2.90885506065848,0.414,0.069,1.30004464116119e-36,"3","RGP1"
1.93709824019202e-40,2.82256621316226,0.428,0.077,3.45810777839079e-36,"3","ABCB19"
3.36103258345582e-40,3.0933391827459,0.241,0.017,6.00011536798533e-36,"3","BIM1"
3.42602157979793e-40,2.86477095130918,0.269,0.023,6.11613372425527e-36,"3","ABCI21"
5.55014701543089e-40,2.57211292027164,0.393,0.061,9.90812245194722e-36,"3","HMG1"
2.28011048389386e-38,2.49038367159457,0.572,0.155,4.07045323584731e-34,"3","RGP2"
2.70780096691809e-38,2.33461235652502,0.331,0.041,4.83396628614217e-34,"3","DGR2"
3.46674090489544e-38,6.03549612848394,0.186,0.009,6.18882586341934e-34,"3","AT4G11290"
4.66203484019088e-38,4.78885921379906,0.228,0.017,8.32266459670875e-34,"3","EXPA11"
5.29645532101757e-38,2.40928107835222,0.476,0.099,9.45523203908057e-34,"3","ACT2"
5.96590742561854e-38,3.09267238701601,0.352,0.052,1.06503379362142e-33,"3","DRT100"
7.51296312277059e-38,4.39586947382127,0.186,0.009,1.34121417667701e-33,"3","AT4G28650"
1.03170113474e-37,4.04107556487349,0.221,0.015,1.84179286573785e-33,"3","FLS1"
2.39395328827282e-37,3.2566099201374,0.193,0.01,4.27368541022464e-33,"3","AT3G56480"
3.2211537629635e-37,2.81648130638576,0.29,0.032,5.75040369764244e-33,"3","ENODL8"
6.73766425485956e-37,6.2771176594183,0.124,0.001,1.20280782277753e-32,"3","UPB1"
3.11648779228201e-36,2.59045557887139,0.421,0.08,5.56355400678185e-32,"3","ARFA1D"
3.1267008050331e-36,3.49168444928921,0.317,0.042,5.5817862771451e-32,"3","GAD"
1.41044923643337e-35,2.92306836877943,0.317,0.043,2.51793397688086e-31,"3","C4H"
1.76985912530625e-35,3.27579115663271,0.241,0.022,3.15955251049671e-31,"3","BZIP61"
2.41493913516191e-35,6.59053990864688,0.159,0.006,4.31114934409104e-31,"3","AT5G64100"
3.38021771201147e-35,2.30569998275146,0.359,0.056,6.03436465948287e-31,"3","TUB6"
3.81090806989863e-35,3.0402352048081,0.359,0.059,6.80323308638303e-31,"3","CESA6"
4.08649850172898e-35,3.04063488227433,0.276,0.031,7.29521712528657e-31,"3","AT1G19450"
4.4449127945369e-35,7.95178402188508,0.131,0.002,7.93505832080728e-31,"3","AT4G12520"
8.4156453214926e-35,6.43462514992794,0.117,0.001,1.50236100279286e-30,"3","AGP13"
3.85057116924524e-176,3.35760141501044,0.815,0.02,6.87403965133661e-172,"4","GRP4"
9.49229139355794e-158,2.92677847886714,0.827,0.028,1.69456385957796e-153,"4","NOP10"
1.08172972274346e-150,2.93494330862576,0.642,0.012,1.93110390104162e-146,"4","HDA3"
5.87410990847141e-143,3.0120330128135,0.852,0.038,1.04864610086032e-138,"4","AT5G27120"
4.21233160439246e-137,2.82553576806179,0.728,0.025,7.51985438016142e-133,"4","AT1G52930"
5.05364142826077e-137,3.08383129597321,0.988,0.066,9.02176067773113e-133,"4","DI21"
1.43243830750029e-135,6.18313805002452,0.432,0.001,2.55718886654951e-131,"4","AT3G15357"
3.16403254700585e-131,2.8797406844796,0.938,0.06,5.64843090291485e-127,"4","AT4G31290"
1.39398414347871e-126,2.64751662168551,0.802,0.04,2.48854049293819e-122,"4","AT5G14520"
9.35368329632426e-125,2.86003726403786,0.877,0.052,1.66981954205981e-120,"4","AT4G12600"
3.54782403999072e-124,2.24496417753117,0.901,0.055,6.33357547619143e-120,"4","AT5G20160"
6.43055514650415e-124,2.7090937332909,0.704,0.028,1.14798270475392e-119,"4","ROC2"
1.21850254123804e-123,2.81107080998359,0.963,0.069,2.17527073661816e-119,"4","AT3G03920"
1.96197977837289e-123,3.34412556861641,0.543,0.011,3.50252630035128e-119,"4","AT3G15240"
2.5976012548518e-123,3.06064425282605,0.58,0.015,4.63723776016143e-119,"4","GR-RBP3"
3.83415387247495e-123,2.72255789757126,0.691,0.026,6.84473149314227e-119,"4","AT1G06720"
7.11726797197241e-123,2.64014050766432,0.79,0.04,1.27057467835651e-118,"4","AT3G56880"
3.66579598734383e-120,3.99440561056531,0.568,0.015,6.5441789966062e-116,"4","PRMT10"
6.80452794604689e-120,4.73501306963481,0.407,0.002,1.21474432892829e-115,"4","RGF4"
1.74058397250946e-117,1.84113166076005,0.84,0.049,3.10729050772389e-113,"4","NOP56"
1.67384740245125e-115,3.11919742171751,0.506,0.01,2.98815238285596e-111,"4","ASPGB1"
4.32508533894129e-115,2.30768975093521,0.506,0.01,7.721142347078e-111,"4","PUM24"
9.87226045216335e-115,1.90074428779696,0.864,0.056,1.7623959359202e-110,"4","AT5G06360"
2.5572670923405e-114,2.69083339147673,0.654,0.026,4.56523321324626e-110,"4","AT5G02050"
3.48041315964537e-114,2.29466234302858,0.691,0.031,6.21323357259892e-110,"4","AT1G22190"
2.79670175818426e-113,2.74204829277578,0.531,0.013,4.99267197871055e-109,"4","AT1G23280"
