"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT2G29500",1.97613573913161e-21,-1.02860254795259,0.124,0.827,3.52779752149775e-17
"RPS6",2.10393701553657e-21,-1.69670557984592,0.193,0.926,3.75594836013588e-17
"HSP81-2",2.5116980983752e-21,-1.69876936952665,0.214,0.938,4.48388344521941e-17
"HDT4",2.98498914643041e-21,-4.79284305444127,0.014,0.556,5.32880262420758e-17
"AT1G23280",3.56917910039583e-21,-6.16663307203881,0.007,0.531,6.37169853002663e-17
"AIL6",3.89703254557902e-21,-6.38914288667617,0.007,0.531,6.95698250036766e-17
"NUDT21",4.08246008361424e-21,-2.69405954814378,0.034,0.605,7.28800774126815e-17
"AT3G07110",4.64123344795555e-21,-1.79616569795403,0.228,0.914,8.28552995129024e-17
"HSC70-1",5.31693626554416e-21,-1.5114125025156,0.552,1,9.49179462124943e-17
"RPL27AB",5.65305190927587e-21,-1.90584278787295,0.2,0.877,1.00918282684393e-16
"AT3G09630",6.40545732259487e-21,-1.60871343790316,0.276,0.963,1.14350224122964e-16
"UBQ6",6.49602823113769e-21,-1.43085873178657,0.234,0.951,1.1596709598227e-16
"AT3G11510",7.21237026636037e-21,-1.32249973424161,0.241,0.988,1.28755233995065e-16
"PHB3",7.39097661472212e-21,-2.00842568003214,0.097,0.753,1.31943714526019e-16
"AT4G10480",8.59014404168705e-21,-1.75115894900739,0.09,0.753,1.53351251432197e-16
"TOM40",1.11666596632466e-20,-2.43498879800251,0.076,0.704,1.99347208308279e-16
"RPL34",1.22411467990734e-20,-1.78115060200726,0.283,0.963,2.18528952657058e-16
"AT1G57860",1.27177506123358e-20,-2.0952092607945,0.062,0.679,2.27037283931419e-16
"UBQ1",1.28312440088669e-20,-1.5752728378044,0.366,0.988,2.29063368046291e-16
"AT1G26880",1.44273123786125e-20,-1.67613970544121,0.214,0.914,2.5755638058299e-16
"MTHSC70-2",1.44288553658e-20,-1.96502535350747,0.034,0.605,2.57583925990261e-16
"AT3G53870",1.47013986001347e-20,-1.7217421513029,0.172,0.889,2.62449367809605e-16
"AtNug2",1.58444237143983e-20,-3.08867999193915,0.062,0.654,2.82854652149438e-16
"RPS18C",1.62971229232498e-20,-1.16123915042736,0.159,0.877,2.90936238425855e-16
"TIM13",1.89594315727765e-20,-3.45350134674912,0.041,0.605,3.38463772437207e-16
"AT1G15420",2.06807223206806e-20,-4.63044717426028,0.021,0.556,3.69192254868791e-16
"RPS15A",2.15273728890153e-20,-1.63069516260086,0.29,0.963,3.84306660814701e-16
"AT5G15200",2.3596563043887e-20,-1.17424494486656,0.366,1,4.21245843459471e-16
"AT1G34030",3.13806593360888e-20,-2.06332465209348,0.069,0.691,5.60207530467857e-16
"AT1G63980",3.29587543347745e-20,-2.50156032907712,0.041,0.605,5.88379682384395e-16
"TOM20-2",3.38962293875196e-20,-2.23617900020348,0.028,0.58,6.05115487025999e-16
"AT2G47610",3.97604474202905e-20,-1.00781617333965,0.255,0.963,7.09803507347027e-16
"AT4G36130",4.06639693468972e-20,-1.75894628775679,0.138,0.815,7.25933180780808e-16
"AT3G10090",4.49608755219205e-20,-4.89038502304934,0.014,0.531,8.02641549817324e-16
"AT1G74270",4.58457903086114e-20,-2.48167752417137,0.069,0.679,8.18439048589331e-16
"IMP4",4.70041770885987e-20,-2.01043637881447,0.034,0.593,8.39118569385664e-16
"AT2G44120",5.54105702170682e-20,-1.80776910142747,0.124,0.802,9.89189499515102e-16
"PUM24",6.07128276002021e-20,-5.86628137340741,0.007,0.506,1.08384539831881e-15
"AT2G21580",6.13505308271797e-20,-1.34718173859883,0.166,0.852,1.09522967632681e-15
"AT4G02230",6.46658535258408e-20,-1.57442742943444,0.117,0.753,1.15441481714331e-15
"AT3G51270",6.86031154766296e-20,-3.21225910744397,0.014,0.531,1.22470281748879e-15
"AT2G40430",7.30635580927123e-20,-2.14309948181882,0.076,0.704,1.3043306390711e-15
"AT4G39200",7.41163368277999e-20,-1.41430094514568,0.331,1,1.32312484504988e-15
"RPL18",7.43066344132242e-20,-0.902857750328831,0.207,0.938,1.32652203754488e-15
"AT-IE",8.05309159680051e-20,-1.04592606532103,0.055,0.654,1.43763791186083e-15
"AT5G60670",9.41146777380543e-20,-2.14446594252899,0.062,0.654,1.68013522697975e-15
"AT2G34020",9.64102026288094e-20,-2.61618587944868,0.048,0.63,1.72111493732951e-15
"AT3G44010",1.14146641081541e-19,-1.29545046463102,0.303,0.988,2.03774583658766e-15
"AT1G20220",1.17772901870153e-19,-1.67724181212797,0.097,0.728,2.10248184418598e-15
"PMH1",1.19515628915578e-19,-3.26428727397684,0.034,0.58,2.1335930074009e-15
"AT1G74060",1.34456562636332e-19,-2.07874601044219,0.041,0.605,2.4003185561838e-15
"RPL16B",1.42506367569112e-19,-1.39776228941138,0.241,0.938,2.5440236738438e-15
