"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MFP2",0.000111186378769392,1.00588157120036,0.146,0.027,1
"AT3G47370",0.000115739847483204,0.498661196017702,0.146,0.027,1
"NUDX27",0.000115740067351555,0.398006710458841,0.146,0.027,1
"CAM1",0.000121472193625421,0.50309123379543,0.171,0.036,1
"AT5G13440",0.00015467508390337,1.37765053354026,0.122,0.021,1
"GR-RBP5",0.000166957001965976,0.856767610474949,0.122,0.021,1
"AT3G23940",0.000166957391173532,1.27263788349338,0.122,0.021,1
"HSD2",0.000166957391173532,0.798730104612612,0.122,0.021,1
"ENODL17",0.0001712508835364,0.602873835767957,0.122,0.021,1
"CKL2",0.000171251281480162,0.521408771368761,0.122,0.021,1
"ATP3",0.000171251281480162,0.51978765787033,0.122,0.021,1
"AT5G05370",0.000171251281480162,0.273804097338771,0.122,0.021,1
"PKP-BETA1",0.000171251281480162,0.774323123791178,0.122,0.021,1
"AT2G36160",0.000195091097690924,1.0547046781205,0.146,0.029,1
"RPT2a",0.000203752759226283,0.275084152204903,0.146,0.029,1
"EXL3",0.000208218546698902,0.365780978562073,0.146,0.029,1
"AT2G05920",0.000208218898921648,0.492788197367676,0.146,0.029,1
"PAG1",0.000208219251144832,0.299764732935057,0.146,0.029,1
"AT2G10940",0.000248780267531934,-4.80089644763093,0.049,0.308,1
"cpHsc70-2",0.000289312333856173,-0.251667501915151,0.22,0.058,1
"AT1G73230",0.000334295865047443,0.487530015521165,0.122,0.022,1
"ACLA-1",0.000338276570317761,0.447512002627616,0.122,0.022,1
"HAP13",0.000338276570317761,0.517973348918613,0.122,0.022,1
"MAML-4",0.000338277250256526,0.570683098066085,0.122,0.022,1
"GRP7",0.000343742583746029,0.454505054887829,1,0.553,1
"NBR1",0.000356268271066432,0.471992822775158,0.146,0.031,1
"AT3G14100",0.000356268809526127,0.490569448840548,0.146,0.031,1
"CAB3",0.00045043795328803,-4.73746703172472,0.049,0.293,1
"LHCB3",0.000493400197919336,-3.25807294180596,0.146,0.375,1
"AT5G39570",0.000577594344269696,0.401135428875543,0.146,0.033,1
"BGAL1",0.000583247113941927,0.641249370649452,0.146,0.033,1
"MGP1",0.000583247903942414,0.624104294940762,0.146,0.033,1
"AT1G76010",0.000594431551096798,0.953427926587595,0.122,0.024,1
"PLDDELTA",0.000607769465170606,0.621549581232982,0.122,0.024,1
"WIH2",0.000607770531355139,0.662661755273809,0.122,0.024,1
"GRF10",0.000621378925106458,0.381711701375612,0.122,0.024,1
"MBD10",0.000621380011579865,0.608865748703172,0.122,0.024,1
"UBC11",0.000621380011579865,0.555950431643248,0.122,0.024,1
"FER3",0.000633455350555479,0.595244451396317,0.171,0.043,1
"ECT2",0.000702100782338386,0.38577480115432,0.171,0.043,1
"AT5G10980",0.000740227350054546,0.327953066888108,0.195,0.053,1
"AT4G29480",0.001040057245016,0.603914610926517,0.122,0.026,1
"CYS1",0.00106189901758091,0.451513577352586,0.122,0.026,1
"FRO1.1",0.00106189901758091,0.599654462401792,0.122,0.026,1
"RPS11-BETA",0.0010729807858699,0.361340267822187,0.122,0.026,1
"CDC48",0.00130457316211441,0.501262461614284,0.195,0.057,1
"CPN60A",0.00133864393198983,-0.672446748634524,0.341,0.122,1
"GRP-3",0.00135973786830124,0.573624242514849,0.146,0.036,1
"PIP1B",0.0014405862025584,-0.257433091928263,0.268,0.089,1
"CUL1",0.00175705090617388,0.36956586280056,0.122,0.027,1
"CAB2",0.00191621498746896,-4.48630792410644,0.049,0.253,1
"AT1G24510",0.00204070253642099,0.369162086318829,0.146,0.038,1
"VAR2",0.00205789522599946,-0.666301893967294,0.146,0.038,1
"SPR1",0.00272309604302797,0.539725170007613,0.122,0.029,1
"AT5G47030",0.0029029989624431,0.397807400283188,0.146,0.039,1
"CAO",0.00294983646253906,-0.37168418927071,0.146,0.039,1
"SHD",0.00306728721676954,-0.30998815268129,0.317,0.118,1
"PSBR",0.0032148052107827,-3.56931466579634,0.098,0.286,1
"AT5G47210",0.00405924691867623,0.501656112642321,0.122,0.031,1
"AT1G70620",0.00409463864424721,0.342395964284412,0.122,0.031,1
"ERS",0.00413030586114518,0.409770566953729,0.122,0.031,1
"AT1G15270",0.00413031018574866,0.285008974689047,0.122,0.031,1
"AVP1",0.00439510326807646,-0.391342850415635,0.39,0.159,1
"GER1",0.00456137341410296,-5.61618669563663,0.024,0.2,1
"SAMDC",0.00499425513749415,-0.270358605526495,0.171,0.053,1
"PSAG",0.00510143714279938,-4.51696480336201,0.024,0.197,1
"DRH1",0.00575285721692904,0.718772993101026,0.122,0.033,1
"BTR1L",0.00592073882525179,0.435048003652008,0.122,0.033,1
"VHA-A",0.00599404042371924,-0.406681637040496,0.122,0.033,1
"CWLP",0.00722985713383312,-3.4330088939513,0.122,0.284,1
"CCR1.2",0.00747970466980679,-0.455866216648697,0.561,0.241,1
"HDR",0.00749022493042433,-0.627892127610823,0.146,0.045,1
